Interessado (razão social),CNPJ,MARCA
BPX BETS SPORTS GROUP LTDA,55.590.815/0001-60,VAIDEBET
,,BETPIX365
,,OBABET
NOSSO TIME IGAMING LTDA,60.828.451/0001-43,JOGA JUNTO
BB GAMING LTDA,57.522.731/0001-14,BRA
ESTADOX LTDA,56.108.627/0001-15,TROPINO
,,BZ
,,55W
OIG GAMING BRAZIL LTDA,55.459.453/0001-72,ICE
ENSEADA SERVIÇOS E TECNOLOGIA LTDA,53.429.401/0001-28,KBET
LAGUNA SERVIÇOS E TECNOLOGIA LTDA,50.920.462/0001-03,NOSSABET
DEFY LTDA,47.974.569/0001-11,1XBET
CAIXA LOTERIAS S.A.,24.038.490/0001-83,BETCAIXA
,,MEGABET
,,XBET CAIXA
TQJ-PAR PARTICIPAÇÕES SOCIETÁRIAS S.A.,55.238.676/0001-00,BAÚ BINGO
,,BET DO MILHÃO
,,
RESPONSA GAMMING BRASIL LIMITADA,56.905.647/0001-17,JOGA LIMPO
,,ENERGIA
SELECT OPERATIONS LTDA,56.875.122/0001-86,MMA
,,BETVIP
,,PAPIGAMES
SPORTVIP GROUP INTERNATIONAL APOSTAS LTDA,56.257.966/0001-63,ESPORTIVAVIP
,,CBESPORTES
,,DONOSDABOLA
7MBR LTDA,56.442.917/0001-09,VERT
,,CGG
,,FANBIT
PIXBET SOLUÇÕES TECNOLÓGICAS LTDA.,40.633.348/0001-30,PIXBET
,,GANHEIBET
,,BET DA SORTE
VANGUARD ENTRETENIMENTO BRASIL LTDA,56.885.537/0001-30,ESPORTE 365
,,BET AKI
,,JOGO DE OURO
SISTEMA LOTÉRICO DE PERNAMBUCO LTDA.,06.023.798/0001-73,MCGAMES
,,PLAY
,,MONTECARLOS
LBBR APOSTAS DE QUOTA FIXA LIMITADA,56.441.713/0001-45,LUCK.BET
,,1 PRA 1
,,STARTBET
MERIDIAN GAMING BRASIL SPE LTDA,56.195.600/0001-07,MERIDIAN
,,PIN
,,
Rr Participacoes e Intermediacoes de Negocios LTDA,23.159.703/0001-62,MULTIBET
,,RICOBET
,,BRXBET
PIX NA HORA,55.258.645/0001-10,APOSTA1
,,APOSTAMAX
,,AVIÃOBET
EA ENTRETENIMENTO E ESPORTES S.A.,53.570.592/0001-43,BATEU BET
,,ESPORTIVA BET
,,
,,
HILGARDO GAMING LTDA,54.362.120/0001-68,A247
,,HILGARDO
,,HILGARDO GAMING
Versus Brasil Ltda,55.080.231/0001-44,VERSUSBET
,,VS - VERSUS
WORLD SPORTS TECHNOLOGY DO BRASIL S.A.,55.822.818/0001-81,BETCOPA
,,BRASIL DA SORTE
,,FYBET
B3T4 INTERNATIONAL GROUP LTDA,56.706.644/0001-54,BET4
,,APOSTA BET
,,FAZ O BET
FOGGO ENTERTAINMENT LTDA,56.431.248/0001-61,BLAZE
,,JONBET
TRACK GAMING BRASIL LTDA,56.706.701/0001-03,BETWARRIOR
GORILLAS GROUP DO BRASIL LTDA,37.456.039/0001-28,BET GORILLAS
,,BET BUFFALOS
,,BET FALCONS
BLOW MARKETPLACE LTDA,37.486.405/0001-91,BRAVO
,,TRADICIONAL
,,APOSTATUDO
FAST GAMING S.A.,55.980.542/0001-60,BETFAST
,,FAZ1BET
,,TIVOBET
FUTURAS APOSTAS LTDA,55.399.607/0001-88,BRAZINO777
GAMEWIZ BRASIL LTDA,56.195.099/0001-89,IJOGO
,,FOGO777
,,P9
GAMEWIZ BRASIL LTDA,56.195.099/0001-89,9F
,,6R
,,BET.APP
SABIA ADMINISTRACAO LTDA,04.426.418/0001-16,BR4BET
,,GOL DE BET
,,LOTOGREEN
SKILL ON NET LTDA,55.927.219/0001-22,BACANAPLAY
,,PLAYUZU
BETBR LOTERIAS LTDA,55.881.028/0001-77,APOSTOU
,,B1 BET
,,BRBET
UX ENTERTAINMENT LTDA,56.197.912/0001-50,REALS
,,UX
,,
,,BINGO
SIMULCASTING BRASIL SOM E IMAGEM S.A.,17.385.948/0001-05,BETSSON
BIG BRAZIL TECNOLOGIA E LOTERIA S.A.,41.590.869/0001-10,BIG
,,
,,APOSTAR
,,
OPEN GAMING S.A.,53.274.124/0001-21,BET.BET
,,DONALDBET
SEVENX GAMING LTDA,56.504.413/0001-68,BULLSBET
,,JOGÃO
,,JOGOS
LOGAME DO BRASIL LTDA,56.349.116/0001-95,LÍDERBET
,,GERALBET
,,B2XBET
UPBET BRASIL LTDA,56.236.761/0001-00,UPBETBR
,,9D
,,WJCASINO
ANA GAMING BRASIL S.A.,55.933.850/0001-34,7K
,,CASSINO
,,VERA
HIPER BET TECNOLOGIA LTDA.,55.404.799/0001-73,HIPERBET
EB INTERMEDIACOES E JOGOS S.A.,52.639.845/0001-25,ESTRELABET
,,VUPI
,,
F12 DO BRASIL JOGOS ELETRONICOS LTDA,51.897.834/0001-82,F12.BET
,,LUVA.BET
,,BRASIL.BET
BELL VENTURES DIGITAL LTDA,56.638.458/0001-25,BANDBET
NEXUS INTERNATIONAL LTDA,55.078.134/0001-17,MEGAPOSTA
OLAVIR LTDA,56.873.267/0001-48,RIVALO
STAKE BRAZIL LTDA,56.525.936/0001-90,STAKE
JOGO PRINCIPAL LTDA,56.302.709/0001-04,GINGABET
,,QGBET
,,VIVASORTE
BRILLIANT GAMING LTDA,56.259.060/0001-88,AFUN
,,AI
,,6Z
SORTENABET GAMING BRASIL S.A.,54.989.030/0001-00,SORTENABET
,,BETOU
,,BETFUSION
LEVANTE BRASIL LTDA,55.045.663/0001-14,SORTE ONLINE
,,LOTTOLAND
BETSPEED LTDA,56.061.524/0001-47,TIGER.BET
,,PQ777
,,5G
BETESPORTE APOSTAS ON LINE LTDA,56.295.104/0001-25,BETESPORTE
,,LANCE DE SORTE
SUPREMA BET LTDA,56.183.358/0001-51,SUPREMABET
,,MAXIMABET
,,ULTRABET
CDA GAMING LTDA,56.636.543/0001-54,CASA DE APOSTAS
,,BET SUL
,,JOGO ONLINE
SC OPERATING BRAZIL LTDA,54.068.631/0001-71,VBET
,,VIVARO
H2 LICENSED LTDA,56.303.755/0001-10,SEUBET
,,H2 BET
LUCKY GAMING LTDA,56.212.040/0001-51,4WIN
,,4PLAY
,,PAGOL
APOSTA GANHA LOTERIAS LTDA,56.001.749/0001-08,APOSTA GANHA
,,RECEBA
HS DO BRASIL LTDA,47.123.407/0001-70,BET365
NVBT GAMING LTDA,50.587.712/0001-27,NOVIBET
NSX BETFAIR BRASIL S.A,55.229.080/0001-43,BETFAIR
,,
VENTMEAR BRASIL S.A.,52.868.380/0001-84,SPORTINGBET
,,BETBOO
KAIZEN GAMING BRASIL LTDA,46.786.961/0001-74,BETANO
ESPORTES GAMING BRASIL LTDA,56.075.466/0001-00,ESPORTES DA SORTE
,,ONABET
,,LOTTU
LINDAU GAMING BRASIL S.A.,50.550.511/0001-55,SPIN
,,OLEYBET
,,
BETBOOM LTDA,54.951.974/0001-80,BETBOOM
A2FBR S.A.,56.147.145/0001-74,PINNACLE
,,MATCHBOOK
,,BETESPECIAL
A2FBR S.A.,56.147.145/0001-74,BOLSA DE APOSTA
,,FULLTBET
,,BETBRA
ALFA ENTRETENIMENTO S.A.,55.359.927/0001-04,ALFA.BET
DIGIPLUS BRAZIL INTERACTIVE LTDA,56.060.798/0001-11,ARENAPLUS
,,
,,BINGOPLUS
,,
BOA LION S.A.,53.837.227/0001-52,BETMGM
,,MGM
SEGURO BET LTDA,56.268.974/0001-05,SEGURO BET
,,KING PANDA
OIG GAMING BRAZIL LTDA,55.459.453/0001-72,7GAMES
,,BETÃO
,,R7
BLAC JOGOS LTDA,55.988.317/0001-70,SPORTYBET
,,
GALERA GAMING JOGOS ELETRONICOS S.A.,31.853.299/0001-50,GALERA.BET
APOLLO OPERATIONS LTDA,54.923.003/0001-26,KTO
NSX BRASIL S.A.,55.056.104/0001-00,BETNACIONAL
,,
"MMD TECNOLOGIA, ENTRETENIMENTO E MARKETING LTDA",34.935.286/0001-19,REI DO PITACO
,,PITACO
,,RdP
SPRBT INTERACTIVE BRASIL LTDA,54.071.596/0001-40,SUPERBET
,,MAGICJACKPOT
,,SUPER
